#id,timestamp|gmt_local_diff_sec|gmt_servertime_diff_sec,name,lat,lon,bikes,spaces,installed,locked,temporary,total_docks,givesbonus_acceptspedelecs_fbbattlevel,pedelecs
176,1664222967|-3600|-3600,"Gloucester Terrace, Bayswater",51.51791921,-0.188098863,13,10,true,false,false,23,true,0
177,1664222967|-3600|-3600,"Ashley Place, Victoria",51.49616092,-0.140947636,15,10,true,false,false,25,true,0
178,1664222967|-3600|-3600,"Warwick Square, Pimlico",51.48985626,-0.141923621,12,7,true,false,false,19,true,0
180,1664222967|-3600|-3600,"North Audley Street, Mayfair",51.5129118,-0.153645496,2,15,true,false,false,17,true,0
181,1664222967|-3600|-3600,"Belgrave Square, Belgravia",51.49941247,-0.152317537,1,20,true,false,false,21,true,0
182,1664222967|-3600|-3600,"Bell Street , Marylebone",51.52202903,-0.165842551,4,14,true,false,false,18,true,0
183,1664222967|-3600|-3600,"Riverlight North, Nine Elms",51.482362,-0.13612398,16,8,true,false,false,24,true,0
184,1664222967|-3600|-3600,"Portland Place, Marylebone",51.52071513,-0.14521173,3,31,true,false,false,34,true,0
185,1664222967|-3600|-3600,"Alderney Street, Pimlico",51.48805753,-0.140741432,13,1,true,false,false,14,true,0
186,1664222967|-3600|-3600,"South Wharf Road, Paddington",51.51733558,-0.175810943,1,15,true,false,false,16,true,0
187,1664222967|-3600|-3600,"Queen's Gate (South), South Kensington",51.49247977,-0.178433004,13,12,true,false,false,25,true,0
188,1664222967|-3600|-3600,"Nutford Place, Marylebone",51.5165179,-0.164393768,3,15,true,false,false,18,true,0
189,1664222967|-3600|-3600,"Claremont Square, Angel",51.53166681,-0.109914711,6,12,true,false,false,18,true,0
190,1664222967|-3600|-3600,"Rampayne Street, Pimlico",51.48997562,-0.132845681,18,3,true,false,false,21,true,0
191,1664222967|-3600|-3600,"Hyde Park Corner, Hyde Park",51.50311799,-0.153520935,4,32,true,false,false,36,true,0
192,1664222967|-3600|-3600,"Wardour Street, Soho",51.51251523,-0.133201961,6,10,true,false,false,16,true,0
193,1664222967|-3600|-3600,"Bankside Mix, Bankside",51.50581776,-0.100186337,30,30,true,false,false,60,true,0
